Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://www.90min.com/posts/lionel-messi-ballon-dor-victories-ranked,Lionel Messi's Ballon d'Or victories - ranked,185.199.228.220,"Oct 30, 2023",Ranking of all Lionel Messi's Ballon d'Or wins - the first of which came in 2009 after a stellar season at Barcelona.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_4898,h_2755,x_363,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01he0v7jz645ag1c2j09.jpg"
https://www.90min.com/posts/2023-mls-year-end-award-nominees-revealed,2023 MLS year-end award nominees revealed ,185.199.228.220,"Oct 26, 2023",The full list of nominees for the 2023 MLS season awards. ,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5690,h_3200,x_349,y_13/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hdpt9bwnd9sm54cfa0.jpg"
https://www.90min.com/posts/what-ballon-d-or-nominees-have-said-2023-chances,What Ballon d'Or nominees have said about their chances in 2023,185.199.228.220,"Oct 25, 2023","Everything that the 2023 Ballon d'Or nominees have said about their chances of winning the award, including the views of Lionel Messi, Kylian Mbappe and Erling Haaland","https://images2.minutemediacdn.com/image/upload/c_crop,w_1949,h_1096,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hdhb5y2e7pqjzr9h2d.jpg"
https://www.90min.com/posts/why-lionel-messi-deserves-win-eighth-ballon-dor,Why Lionel Messi deserves to win record-extending eighth Ballon d'Or,185.199.228.220,"Oct 25, 2023",Why Lionel Messi deserves to win a record-extending eighth Ballon d'Or based on his performances for Argentina and Paris Saint-Germain last season.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_3500,h_1968,x_0,y_109/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hdh5ccqnncc3b75q2f.jpg"
https://www.90min.com/posts/why-erling-haaland-deserves-beat-lionel-messi-win-2023-ballon-dor,Why Erling Haaland deserves to beat Lionel Messi & win 2023 Ballon d'Or,185.199.228.220,"Oct 25, 2023","The reasons why Manchester City striker Erling Haaland could, and should, win the 2023 Ballon d'Or over the likes of Lionel Messi and teammate Kevin De Bruyne.","https://images2.minutemediacdn.com/image/upload/c_crop,w_1816,h_1021,x_0,y_29/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hdgwjq8bh17he05m2e.jpg"
https://www.90min.com/posts/is-lionel-messi-playing-inter-miami-charlotte-fitness-update,Is Lionel Messi playing for Inter Miami vs Charlotte? Fitness update on Argentina star,185.199.228.220,"Oct 21, 2023",The latest fitness news on Inter Miami's Lionel Messi and whether he will be available for the club's final MLS game of the year against Charlotte,"https://images2.minutemediacdn.com/image/upload/c_crop,w_3000,h_1687,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hd8shdx0xtdakmq3hj.jpg"
https://www.90min.com/posts/pep-guardiola-choice-lionel-messi-and-erling-haaland-for-2023-ballon-dor,Pep Guardiola reveals choice between Lionel Messi and Erling Haaland for 2023 Ballon d'Or,185.199.228.220,"Oct 20, 2023",Manchester City manager Pep Guardiola reveals his thoughts on the 2023 Ballon d'Or award after being asked to choose between Erling Haaland and Lionel Messi.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_1919,h_1079,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FvoltaxMediaLibrary%2Fmmsport%2F90min_en_international_web%2F01hd6p9gr9994dr1xvgh.jpg"
https://www.90min.com/posts/lionel-messi-confirms-stance-loan-move-barcelona,Lionel Messi confirms stance on loan move to Barcelona,185.199.228.220,"Oct 19, 2023",Lionel Messi has confirmed he will not be leaving Inter Miami on loan during the MLS postseason break.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_3142,h_1767,x_0,y_12/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hd3kbpsya2dmnn1v1n.jpg"
https://www.90min.com/posts/lionel-messi-compares-argentina-best-team-history-barcelona,Lionel Messi compares Argentina squad to 'best team in history' Barcelona,185.199.228.220,"Oct 18, 2023",Find out why Lionel Messi believes Argentina's current team could be comparable to 'the best Barcelona teams in history'.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_4321,h_2430,x_0,y_331/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hd0zyxte1hhjsd3ngr.jpg"
https://www.90min.com/posts/has-lionel-messi-won-record-eighth-ballon-dor,Has Lionel Messi won a record eighth Ballon d'Or?,185.199.228.220,"Oct 17, 2023",A look at whether Inter Miami's Lionel Messi has already won the 2023 Ballon d'Or ahead of the likes of Erling Haaland and Kylian Mbappe,"https://images2.minutemediacdn.com/image/upload/c_crop,w_3324,h_1869,x_0,y_38/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hcyzay4abknw11pb0c.jpg"
