Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-and-inter-miami-heading-to-hong-kong-for-pre-season-friendly/articleshow/105824170.cms, Lionel Messi and Inter Miami heading to Hong Kong for pre-season friendly ,188.74.183.10,"Dec 08, 2023"," Lionel Messi and Inter Miami are set to participate in a pre-season friendly in Hong Kong in February, marking the club's inaugural international tour, according to the Major League Soccer side. Inter Miami is scheduled to face a Hong Kong XI. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-calls-major-league-soccer-a-minor-league/articleshow/105668286.cms, Lionel Messi calls Major League Soccer ‘a minor league’ ,188.74.183.10,"Dec 02, 2023"," Lionel Messi, the soccer legend, referred to Major League Soccer (MLS) as a ""minor league"" in a recent interview. Messi's comment reflects his acknowledgement of the differences in competitiveness between MLS and other top-tier leagues. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-why-mls-fans-will-have-to-pay-more-for-the-argentinian/articleshow/105425455.cms, Lionel Messi: Why MLS fans will have to pay more for the Argentinian ,188.74.183.10,"Nov 23, 2023"," The New York Red Bulls have faced backlash for a holiday deal that offers merchandise and tickets to two games, but with the caveat that if the home opener is against Inter Miami with Lionel Messi, fans will only receive tickets for the second home game. Some fans expressed frustration, while others saw it as a smart business move. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/were-not-playing-were-leaving-says-lionel-messi-amid-crowd-violence/articleshow/105399096.cms," 'We're not playing, we're leaving' says Lionel Messi amid crowd violence ",188.74.183.10,"Nov 22, 2023"," The World Cup qualifying clash between Brazil and Argentina was delayed by approximately 30 minutes due to disturbances in the stadium. Rival supporters clashed in the stands, leading to intervention by Brazilian police. The disruptions escalated, causing Argentina's players, led by Lionel Messi, to leave the field. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/entertainment/english/music/news/shakira-reaches-deal-to-avoid-15-million-tax-fraud-trial-in-spain/articleshow/105378796.cms, Shakira reaches deal to avoid $15 million tax fraud trial in Spain ,38.154.227.167,"Nov 21, 2023"," Colombian pop star Shakira has reached a settlement with prosecutors in Barcelona to avoid a trial over charges of tax evasion. She accepted the charges and agreed to pay a fine of over 7.3 million euros, as well as an additional fine to avoid a prison sentence. The singer had been accused of failing to pay 14.5 million euros in income tax between 2012 and 2014. Shakira, who has another tax fraud investigation pending, had previously vowed to fight the accusations. Other celebrities, including Cristiano Ronaldo and Lionel Messi, have also faced similar charges in Spain. ","https://static.toiimg.com/thumb/imgsize-123456,msid-105378796,width-300,resizemode-4/105378796.jpg"
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-lifts-eighth-ballon-dor-in-pregame-splendor-at-inter-miami-celebration/articleshow/105136978.cms, Lionel Messi lifts eighth Ballon D'Or in pregame splendor at Inter Miami celebration ,38.154.227.167,"Nov 11, 2023", Lionel Messi showcased his Ballon D'Or during a pregame ceremony at a friendly match between Inter Miami and New York City FC. The event celebrated Messi's eighth win of the prestigious award and marked the end of his first official four months with Inter Miami. ,"https://static.toiimg.com/thumb/imgsize-123456,msid-105136978,width-300,resizemode-4/105136978.jpg"
https://timesofindia.indiatimes.com/sports/football/top-stories/mls-luis-suarez-to-reunite-with-former-barcelona-teammates-at-inter-miami/articleshow/104956245.cms, MLS: Luis Suarez to reunite with former Barcelona teammates at Inter Miami ,38.154.227.167,"Nov 04, 2023"," Inter Miami is set to add Luis Suarez to its roster, following the recent signing of Lionel Messi. Suarez, currently playing for Gremio in Brazil, will join Inter Miami after the conclusion of the Brazilian season in December. The forward is known for his prolific goal-scoring abilities, but also for his controversial on-field behavior. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/revealed-lionel-messis-8th-ballon-dor-celebration-plans-with-inter-miami/articleshow/104952654.cms, Revealed: Lionel Messi's 8th Ballon d'Or celebration plans with Inter Miami ,38.154.227.167,"Nov 04, 2023"," Lionel Messi, the eight-time Ballon d'Or winner, will celebrate his recent achievement with an exhibition match alongside Inter Miami. The event, called ""celebr8,"" will take place on November 10 against New York City FC. The Ballon d'Or trophy will be presented during the match, and the celebration will include various themes centred around the number 8. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/you-lie-once-again-lionel-messi-denies-meeting-with-barcelona-president-joan-laporta-at-ballon-dor-gala/articleshow/104897762.cms, 'You lie once again': Lionel Messi denies meeting with Barcelona president Joan Laporta at Ballon d'Or gala ,38.154.227.167,"Nov 02, 2023"," Lionel Messi has denied rumors of a meeting with Barcelona president Joan Laporta, following his eighth Ballon d'Or win. Messi expressed his desire for a proper farewell from the club, refuting claims of discussions about organizing a tribute match at Camp Nou. After a journalist apologized for spreading misinformation, it was revealed that Laporta plans to pay tribute to Messi when Camp Nou reopens in 2024/25. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-not-thinking-about-long-term-future-after-claiming-eighth-ballon-dor/articleshow/104841621.cms, Lionel Messi not thinking about long-term future after claiming eighth Ballon d'Or ,38.154.227.167,"Oct 31, 2023"," Lionel Messi's pivotal role in Argentina's World Cup triumph helped him leave behind strong contenders like Kylian Mbappe and Erling Haaland, with Haaland finishing as the runner-up and Mbappe in third place. Kevin De Bruyne secured the fourth position. While Messi's 2022 FIFA World Cup performance in Qatar was a milestone, his final season at Paris Saint-Germain was less impressive. He later left PSG to join Inter Miami, which is co-owned by the legendary David Beckham, in Major League Soccer. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-wins-eighth-ballon-dor-as-aitana-bonmati-claims-womens-award/articleshow/104839164.cms, Lionel Messi wins eighth Ballon d'Or as Aitana Bonmati claims women's award ,38.154.227.167,"Oct 31, 2023"," For Messi, this prestigious trophy primarily celebrates his awe-inspiring performances at the previous year's World Cup held in Qatar. During the tournament, he single-handedly propelled Argentina to victory, netting seven goals and earning the title of the tournament's standout player. Bonmati also played a pivotal role in Spain's triumph at the World Cup held in Australia in August. The 25-year-old midfielder earned the distinction of being named the World Cup's best player as the Spanish team surmounted various off-field challenges. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-eyes-an-eighth-ballon-dor-with-aitana-bonmati-set-to-win-womens-award/articleshow/104792879.cms, Lionel Messi eyes an eighth Ballon d'Or with Aitana Bonmati set to win women's award ,38.154.227.167,"Oct 29, 2023"," Lionel Messi is the favorite to win the eighth Ballon d'Or, set to be held in Paris on Monday. Aitana Bonmati, a World Cup-winning Spain player, is also a potential candidate for the women's prize. Messi and Cristiano Ronaldo have dominated the award for 15 years, with 12 wins each. Only Luka Modric and Karim Benzema have managed to break this duopoly. A recent rule change now bases the award on a player's performance over the last season, rather than the entire calendar year. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-inter-miami-star-named-finalist-for-mls-newcomer-of-the-year/articleshow/104737624.cms, Lionel Messi: Inter Miami star named finalist for MLS Newcomer of the Year ,38.154.227.167,"Oct 27, 2023"," Argentine footballer Lionel Messi has been named as one of the three finalists for Major League Soccer's (MLS) Newcomer of the Year award. Despite only playing in six league matches for Inter Miami, Messi led the team to victory in the Leagues Cup tournament and made a significant impact on the MLS, boosting jersey sales and ticket sales. Messi was also nominated for the MLS Most Valuable Player award but did not make the final three in that category. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/news/great-players-like-virat-kohli-and-lionel-messi-always-arrive-in-world-cups-says-michael-vaughan/articleshow/104695867.cms," Great players like Virat Kohli and Lionel Messi always arrive in World Cups, says Michael Vaughan ",38.154.227.167,"Oct 25, 2023"," Kohli sits second currently on the list of run-getters in this ICC World Cup with 354 runs, and 198 of those have come in the last two of his five innings so far in the tournament. He scored 103* against Bangladesh and 95 against New Zealand. Kohli is two hundreds away from becoming the first batter to reach the milestone of 50 centuries in ODI cricket, and former England captain Michale Vaughan is almost sure that Kohli will get there in this World Cup itself. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messis-argentine-teammate-alejandro-gomez-denies-doping-after-two-year-ban/articleshow/104633401.cms, Lionel Messi's Argentine teammate Alejandro Gomez denies doping after two-year ban ,38.154.227.167,"Oct 23, 2023"," Argentinian footballer Alejandro Gomez, also known as 'Papu,' has denied doping allegations after receiving a two-year ban for failing a doping test while playing for Monza in Spain. Gomez claims innocence and stated on Instagram that he had never used or intended to use doping methods. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/world/us/charlotte-fc-clinches-playoffs-victory-over-lionel-messis-inter-miami-red-bulls-book-mls-playoff-berth-too/articleshow/104617448.cms," Charlotte FC clinches playoffs victory over Lionel Messi's Inter Miami, Red Bulls book MLS playoff berth too ",38.154.227.167,"Oct 22, 2023"," Charlotte FC secured a spot in the Major League Soccer playoffs with a 1-0 victory over Lionel Messi's Inter Miami. Charlotte's Kerwin Vargas scored the winning goal. This result ended Miami's hopes of making the playoffs. The New York Red Bulls also secured a playoff spot with a 1-0 win over Nashville, extending their playoff streak to 14 seasons. ",https://static.toiimg.com/photo/25581306.cms
